frame,image,timestamp,throttle,steering
1,000001.jpg,109627.733861,0.0,0.0
2,000002.jpg,109627.853395,0.0,0.0
3,000003.jpg,109627.854780,0.0,0.0
4,000004.jpg,109627.928466,0.0,0.0
5,000005.jpg,109628.000031,0.0,0.0
6,000006.jpg,109628.086682,0.0,0.0
7,000007.jpg,109628.213333,0.0,0.0
8,000008.jpg,109628.217069,0.0,0.0
9,000009.jpg,109628.288950,0.0,0.0
10,000010.jpg,109628.362266,0.0,0.0
11,000011.jpg,109628.503366,0.0,0.0
12,000012.jpg,109628.505235,0.0,0.0
13,000013.jpg,109628.585053,0.0,0.0
14,000014.jpg,109628.718743,0.0,0.0
15,000015.jpg,109628.792557,0.0,0.0
16,000016.jpg,109628.793760,0.0,0.0
17,000017.jpg,109628.870292,0.0,0.0
18,000018.jpg,109629.006327,0.0,0.0
19,000019.jpg,109629.009113,0.0,0.0
20,000020.jpg,109629.084286,0.0,0.0
21,000021.jpg,109629.159253,0.0,0.0
22,000022.jpg,109629.315632,0.0,0.0
23,000023.jpg,109629.317297,0.0,0.0
24,000024.jpg,109629.370117,0.0,0.0
25,000025.jpg,109629.443748,0.0,0.0
26,000026.jpg,109629.528171,0.0,0.0
27,000027.jpg,109629.654928,0.0,0.0
28,000028.jpg,109629.663127,0.0,0.0
29,000029.jpg,109629.729688,0.0,0.0
30,000030.jpg,109629.803802,0.0,0.0
31,000031.jpg,109629.942955,0.0,0.0
32,000032.jpg,109629.945498,0.0,0.0
33,000033.jpg,109630.026170,0.0,0.0
34,000034.jpg,109630.087419,0.0,0.0
35,000035.jpg,109630.167462,0.0,0.0
36,000036.jpg,109630.304884,0.0,0.0
37,000037.jpg,109630.308593,0.0,0.0
38,000038.jpg,109630.374930,0.0,0.0
39,000039.jpg,109630.454576,0.0,0.0
40,000040.jpg,109630.524181,0.0,0.0
41,000041.jpg,109630.662425,0.0,0.0
42,000042.jpg,109630.665031,0.0,0.0
43,000043.jpg,109630.735425,0.0,0.0
